Scenario,workerId,lhs_script,rhs_script,lhs_item,result,goldStandard,outlier/stable
baking a cake.csv.xml,A1JV64BL3WCK0G,1,68,1,before_1,,
baking a cake.csv.xml,A31O43Y575I5C2,1,68,1,before_1,,
baking a cake.csv.xml,A3BI0AX5T5GVO3,1,68,1,between_1_2,,
baking a cake.csv.xml,A1JV64BL3WCK0G,1,68,3,between_1_2,,o
baking a cake.csv.xml,A31O43Y575I5C2,1,68,3,between_2_3,,o
baking a cake.csv.xml,A3BI0AX5T5GVO3,1,68,3,between_3_4,,o
baking a cake.csv.xml,A1JV64BL3WCK0G,1,68,7,7,7,
baking a cake.csv.xml,A31O43Y575I5C2,1,68,7,7,7,
baking a cake.csv.xml,A3BI0AX5T5GVO3,1,68,7,between_5_6,7,
baking a cake.csv.xml,A1JV64BL3WCK0G,1,68,9,between_9_10,,s
baking a cake.csv.xml,A31O43Y575I5C2,1,68,9,between_8_9,,s
baking a cake.csv.xml,A3BI0AX5T5GVO3,1,68,9,between_8_9,,s
baking a cake.csv.xml,A1JV64BL3WCK0G,1,68,10,11,,s
baking a cake.csv.xml,A31O43Y575I5C2,1,68,10,11,,s
baking a cake.csv.xml,A3BI0AX5T5GVO3,1,68,10,between_11_12,,s
baking a cake.csv.xml,A1JV64BL3WCK0G,1,68,11,14,,s
baking a cake.csv.xml,A31O43Y575I5C2,1,68,11,13,,s
baking a cake.csv.xml,A3BI0AX5T5GVO3,1,68,11,between_13_14,,s
baking a cake.csv.xml,A1JV64BL3WCK0G,1,68,12,12,,o
baking a cake.csv.xml,A31O43Y575I5C2,1,68,12,12,,o
baking a cake.csv.xml,A3BI0AX5T5GVO3,1,68,12,after_14,,o
baking a cake.csv.xml,A1FP3SH704X01V,1,89,1,before_1,,
baking a cake.csv.xml,A1TNQU9L5L62PL,1,89,1,noLinkingPossible,,
baking a cake.csv.xml,AEKCK3L7OKCY9,1,89,1,1,,
baking a cake.csv.xml,A1FP3SH704X01V,1,89,3,between_1_2,,o
baking a cake.csv.xml,A1TNQU9L5L62PL,1,89,3,1,,o
baking a cake.csv.xml,AEKCK3L7OKCY9,1,89,3,4,,o
baking a cake.csv.xml,A1FP3SH704X01V,1,89,7,9,9,
baking a cake.csv.xml,A1TNQU9L5L62PL,1,89,7,7,9,
baking a cake.csv.xml,AEKCK3L7OKCY9,1,89,7,9,9,
baking a cake.csv.xml,A1FP3SH704X01V,1,89,9,between_9_10,,s
baking a cake.csv.xml,A1TNQU9L5L62PL,1,89,9,11,,s
baking a cake.csv.xml,AEKCK3L7OKCY9,1,89,9,11,,s
baking a cake.csv.xml,A1FP3SH704X01V,1,89,10,11,,s
baking a cake.csv.xml,A1TNQU9L5L62PL,1,89,10,12,,s
baking a cake.csv.xml,AEKCK3L7OKCY9,1,89,10,12,,s
baking a cake.csv.xml,A1FP3SH704X01V,1,89,11,15,,s
baking a cake.csv.xml,A1TNQU9L5L62PL,1,89,11,15,,s
baking a cake.csv.xml,AEKCK3L7OKCY9,1,89,11,15,,s
baking a cake.csv.xml,A1FP3SH704X01V,1,89,12,14,,o
baking a cake.csv.xml,A1TNQU9L5L62PL,1,89,12,14,,o
baking a cake.csv.xml,AEKCK3L7OKCY9,1,89,12,14,,o
baking a cake.csv.xml,A1C57DJF1HCR3Q,1,96,1,before_1,1,
baking a cake.csv.xml,A31IZKL0SIL3MB,1,96,1,noLinkingPossible,1,
baking a cake.csv.xml,A4RMK9LD7UJP6,1,96,1,1,1,
baking a cake.csv.xml,A1C57DJF1HCR3Q,1,96,3,between_2_3,,o
baking a cake.csv.xml,A31IZKL0SIL3MB,1,96,3,noLinkingPossible,,o
baking a cake.csv.xml,A4RMK9LD7UJP6,1,96,3,between_2_3,,o
baking a cake.csv.xml,A1C57DJF1HCR3Q,1,96,7,7,7,
baking a cake.csv.xml,A31IZKL0SIL3MB,1,96,7,7,7,
baking a cake.csv.xml,A4RMK9LD7UJP6,1,96,7,7,7,
baking a cake.csv.xml,A1C57DJF1HCR3Q,1,96,9,9,,s
baking a cake.csv.xml,A31IZKL0SIL3MB,1,96,9,9,,s
baking a cake.csv.xml,A4RMK9LD7UJP6,1,96,9,9,,s
baking a cake.csv.xml,A1C57DJF1HCR3Q,1,96,10,12,,s
baking a cake.csv.xml,A31IZKL0SIL3MB,1,96,10,12,,s
baking a cake.csv.xml,A4RMK9LD7UJP6,1,96,10,12,,s
baking a cake.csv.xml,A1C57DJF1HCR3Q,1,96,11,after_14,,s
baking a cake.csv.xml,A31IZKL0SIL3MB,1,96,11,noLinkingPossible,,s
baking a cake.csv.xml,A4RMK9LD7UJP6,1,96,11,between_12_13,,s
baking a cake.csv.xml,A1C57DJF1HCR3Q,1,96,12,13,,o
baking a cake.csv.xml,A31IZKL0SIL3MB,1,96,12,13,,o
baking a cake.csv.xml,A4RMK9LD7UJP6,1,96,12,13,,o
baking a cake.csv.xml,A311S2J8UUQ7QR,2,68,1,before_1,,s
baking a cake.csv.xml,A3OYUJ6E6BJS4H,2,68,1,before_1,,s
baking a cake.csv.xml,AU6ZURVHX4KPT,2,68,1,noLinkingPossible,,s
baking a cake.csv.xml,A311S2J8UUQ7QR,2,68,2,1,1,
baking a cake.csv.xml,A3OYUJ6E6BJS4H,2,68,2,between_1_2,1,
baking a cake.csv.xml,AU6ZURVHX4KPT,2,68,2,1,1,
