baking a cake.csv.xml,workerId,lhs_script, rhs_script,lhs_item, result, goldenStandard,Outlier/stable
baking a cake.csv.xml,A1A3TGZ7DKJWRW,50,68,1,between_1_2,1,
baking a cake.csv.xml,A1NZFJHVJ9CNTO,50,68,1,1,1,
baking a cake.csv.xml,A2QTP92PCZUGI2,50,68,1,1,1,
baking a cake.csv.xml,A1WOV2JIV5I9VE,50,89,1,2,2,
baking a cake.csv.xml,A2QTP92PCZUGI2,50,89,1,2,2,
baking a cake.csv.xml,A3UV55HC87DO9C,50,89,1,between_9_10,2,
baking a cake.csv.xml,A1A3TGZ7DKJWRW,50,96,1,2,2,
baking a cake.csv.xml,A1WOV2JIV5I9VE,50,96,1,2,2,
baking a cake.csv.xml,AWDBHQA8XK0G1,50,96,1,2,2,
baking a cake.csv.xml,A1A3TGZ7DKJWRW,50,68,3,2,2,
baking a cake.csv.xml,A1NZFJHVJ9CNTO,50,68,3,2,2,
baking a cake.csv.xml,A2QTP92PCZUGI2,50,68,3,2,2,
baking a cake.csv.xml,A1WOV2JIV5I9VE,50,89,3,3,3,
baking a cake.csv.xml,A2QTP92PCZUGI2,50,89,3,3,3,
baking a cake.csv.xml,A3UV55HC87DO9C,50,89,3,between_9_10,3,
baking a cake.csv.xml,A1A3TGZ7DKJWRW,50,96,3,between_2_3,,
baking a cake.csv.xml,A1WOV2JIV5I9VE,50,96,3,between_2_3,,
baking a cake.csv.xml,AWDBHQA8XK0G1,50,96,3,between_2_3,,
baking a cake.csv.xml,A1NZFJHVJ9CNTO,51,68,1,2,2,
baking a cake.csv.xml,A3UV55HC87DO9C,51,68,1,2,2,
baking a cake.csv.xml,AMERD84D2MGKR,51,68,1,2,2,
baking a cake.csv.xml,A2GXHECU31O81V,51,89,1,between_3_4,3,
baking a cake.csv.xml,A38DC3BG1ZCVZ2,51,89,1,3,3,
baking a cake.csv.xml,AWDBHQA8XK0G1,51,89,1,3,3,
baking a cake.csv.xml,A1NZFJHVJ9CNTO,51,96,1,noLinkingPossible,,
baking a cake.csv.xml,A2GXHECU31O81V,51,96,1,before_1,,
baking a cake.csv.xml,AMERD84D2MGKR,51,96,1,noLinkingPossible,,
baking a cake.csv.xml,A1NZFJHVJ9CNTO,51,68,9,5,5,
baking a cake.csv.xml,A3UV55HC87DO9C,51,68,9,5,5,
baking a cake.csv.xml,AMERD84D2MGKR,51,68,9,5,5,
baking a cake.csv.xml,A2GXHECU31O81V,51,89,9,noLinkingPossible,,
baking a cake.csv.xml,A38DC3BG1ZCVZ2,51,89,9,between_5_6,,
baking a cake.csv.xml,AWDBHQA8XK0G1,51,89,9,between_5_6,,
baking a cake.csv.xml,A1NZFJHVJ9CNTO,51,96,9,noLinkingPossible,5,
baking a cake.csv.xml,A2GXHECU31O81V,51,96,9,noLinkingPossible,5,
baking a cake.csv.xml,AMERD84D2MGKR,51,96,9,5,5,
baking a cake.csv.xml,A1NZFJHVJ9CNTO,51,68,10,6,,o
baking a cake.csv.xml,A3UV55HC87DO9C,51,68,10,6,,o
baking a cake.csv.xml,AMERD84D2MGKR,51,68,10,6,,o
baking a cake.csv.xml,A2GXHECU31O81V,51,89,10,between_6_7,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,51,89,10,6,,o
baking a cake.csv.xml,AWDBHQA8XK0G1,51,89,10,6,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,51,96,10,6,,o
baking a cake.csv.xml,A2GXHECU31O81V,51,96,10,noLinkingPossible,,o
baking a cake.csv.xml,AMERD84D2MGKR,51,96,10,6,,o
baking a cake.csv.xml,A2GXHECU31O81V,53,68,1,noLinkingPossible,,o
baking a cake.csv.xml,A2P065E9CYMYJL,53,68,1,3,,o
baking a cake.csv.xml,ASB8T0H7L99RF,53,68,1,before_1,,o
baking a cake.csv.xml,A2GXHECU31O81V,53,89,1,between_3_4,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,53,89,1,1,,o
baking a cake.csv.xml,AMERD84D2MGKR,53,89,1,1,,o
baking a cake.csv.xml,A2GXHECU31O81V,53,96,1,between_3_4,,o
baking a cake.csv.xml,A2P065E9CYMYJL,53,96,1,4,,o
baking a cake.csv.xml,A2P065E9CYMYJL,53,96,1,3,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,53,96,1,between_2_3,,o
baking a cake.csv.xml,A2GXHECU31O81V,53,68,4,between_3_4,,o
baking a cake.csv.xml,A2P065E9CYMYJL,53,68,4,3,,o
baking a cake.csv.xml,ASB8T0H7L99RF,53,68,4,3,,o
baking a cake.csv.xml,A2GXHECU31O81V,53,89,4,between_4_5,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,53,89,4,4,,o
baking a cake.csv.xml,AMERD84D2MGKR,53,89,4,4,,o
baking a cake.csv.xml,A2GXHECU31O81V,53,96,4,between_4_5,,o
baking a cake.csv.xml,A2P065E9CYMYJL,53,96,4,3,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,53,96,4,3,,o
baking a cake.csv.xml,A2GXHECU31O81V,53,68,6,between_7_8,,o
baking a cake.csv.xml,A2P065E9CYMYJL,53,68,6,7,,o
baking a cake.csv.xml,ASB8T0H7L99RF,53,68,6,7,,o
baking a cake.csv.xml,A2GXHECU31O81V,53,89,6,noLinkingPossible,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,53,89,6,9,,o
baking a cake.csv.xml,AMERD84D2MGKR,53,89,6,9,,o
baking a cake.csv.xml,A2GXHECU31O81V,53,96,6,between_7_8,,o
baking a cake.csv.xml,A2P065E9CYMYJL,53,96,6,7,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,53,96,6,7,,o
baking a cake.csv.xml,A2GXHECU31O81V,53,68,8,noLinkingPossible,,o
baking a cake.csv.xml,A2P065E9CYMYJL,53,68,8,noLinkingPossible,,o
baking a cake.csv.xml,ASB8T0H7L99RF,53,68,8,between_10_11,,o
baking a cake.csv.xml,A2GXHECU31O81V,53,89,8,between_12_13,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,53,89,8,11,,o
baking a cake.csv.xml,AMERD84D2MGKR,53,89,8,noLinkingPossible,,o
baking a cake.csv.xml,A2GXHECU31O81V,53,96,8,noLinkingPossible,,o
baking a cake.csv.xml,A2P065E9CYMYJL,53,96,8,noLinkingPossible,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,53,96,8,10,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,56,68,1,noLinkingPossible,,o
baking a cake.csv.xml,A2P065E9CYMYJL,56,68,1,noLinkingPossible,,o
baking a cake.csv.xml,A3T7N805PVNEXN,56,68,1,noLinkingPossible,,o
baking a cake.csv.xml,A2GXHECU31O81V,56,89,1,between_1_2,,o
baking a cake.csv.xml,A2P065E9CYMYJL,56,89,1,1,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,56,89,1,1,,o
baking a cake.csv.xml,A3UV55HC87DO9C,56,96,1,before_1,,o
baking a cake.csv.xml,AMERD84D2MGKR,56,96,1,noLinkingPossible,,o
baking a cake.csv.xml,ASB8T0H7L99RF,56,96,1,before_1,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,56,68,2,4,,o
baking a cake.csv.xml,A2P065E9CYMYJL,56,68,2,3,,o
baking a cake.csv.xml,A3T7N805PVNEXN,56,68,2,4,,o
baking a cake.csv.xml,A2GXHECU31O81V,56,89,2,between_5_6,,o
baking a cake.csv.xml,A2P065E9CYMYJL,56,89,2,4,,o
baking a cake.csv.xml,A2P065E9CYMYJL,56,89,2,5,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,56,89,2,5,,o
baking a cake.csv.xml,A3UV55HC87DO9C,56,96,2,4,,o
baking a cake.csv.xml,AMERD84D2MGKR,56,96,2,4,,o
baking a cake.csv.xml,ASB8T0H7L99RF,56,96,2,4,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,56,68,8,noLinkingPossible,,o
baking a cake.csv.xml,A2P065E9CYMYJL,56,68,8,noLinkingPossible,,o
baking a cake.csv.xml,A3T7N805PVNEXN,56,68,8,noLinkingPossible,,o
baking a cake.csv.xml,A2GXHECU31O81V,56,89,8,noLinkingPossible,,o
baking a cake.csv.xml,A2P065E9CYMYJL,56,89,8,noLinkingPossible,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,56,89,8,between_11_12,,o
baking a cake.csv.xml,A3UV55HC87DO9C,56,96,8,between_9_10,,o
baking a cake.csv.xml,AMERD84D2MGKR,56,96,8,noLinkingPossible,,o
baking a cake.csv.xml,ASB8T0H7L99RF,56,96,8,between_10_11,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,56,68,13,noLinkingPossible,,o
baking a cake.csv.xml,A2P065E9CYMYJL,56,68,13,noLinkingPossible,,o
baking a cake.csv.xml,A3T7N805PVNEXN,56,68,13,noLinkingPossible,,o
baking a cake.csv.xml,A2GXHECU31O81V,56,89,13,noLinkingPossible,,o
baking a cake.csv.xml,A2P065E9CYMYJL,56,89,13,noLinkingPossible,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,56,89,13,after_15,,o
baking a cake.csv.xml,A3UV55HC87DO9C,56,96,13,after_14,,o
baking a cake.csv.xml,AMERD84D2MGKR,56,96,13,noLinkingPossible,,o
baking a cake.csv.xml,ASB8T0H7L99RF,56,96,13,after_14,,o
baking a cake.csv.xml,A2O19SRDLSQDP6,57,68,4,between_10_11,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,57,68,4,between_10_11,,o
baking a cake.csv.xml,AMERD84D2MGKR,57,68,4,10,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,57,89,4,11,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,57,89,4,between_10_11,,o
baking a cake.csv.xml,AWDBHQA8XK0G1,57,89,4,between_10_11,,o
baking a cake.csv.xml,A1A3TGZ7DKJWRW,57,96,4,between_10_11,,o
baking a cake.csv.xml,AMERD84D2MGKR,57,96,4,10,,o
baking a cake.csv.xml,ASB8T0H7L99RF,57,96,4,10,,o
baking a cake.csv.xml,A2O19SRDLSQDP6,57,68,6,12,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,57,68,6,12,,o
baking a cake.csv.xml,AMERD84D2MGKR,57,68,6,12,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,57,89,6,14,,o
baking a cake.csv.xml,A38DC3BG1ZCVZ2,57,89,6,14,,o
baking a cake.csv.xml,AWDBHQA8XK0G1,57,89,6,14,,o
baking a cake.csv.xml,A1A3TGZ7DKJWRW,57,96,6,between_13_14,,o
baking a cake.csv.xml,AMERD84D2MGKR,57,96,6,13,,o
baking a cake.csv.xml,ASB8T0H7L99RF,57,96,6,13,,o
baking a cake.csv.xml,A2GXHECU31O81V,59,68,5,between_9_10,9,
baking a cake.csv.xml,A38DC3BG1ZCVZ2,59,68,5,9,9,
baking a cake.csv.xml,AMERD84D2MGKR,59,68,5,9,9,
baking a cake.csv.xml,A142ZRU284W9O,59,89,5,10,10,
baking a cake.csv.xml,A1NZFJHVJ9CNTO,59,89,5,10,10,
baking a cake.csv.xml,A2GXHECU31O81V,59,89,5,between_10_11,10,
baking a cake.csv.xml,A27HVVLSZZ13XK,59,96,5,8,8,
baking a cake.csv.xml,A2GXHECU31O81V,59,96,5,between_8_9,8,
baking a cake.csv.xml,A2QTP92PCZUGI2,59,96,5,8,8,
baking a cake.csv.xml,A1A3TGZ7DKJWRW,60,68,1,before_1,,o
baking a cake.csv.xml,A2GXHECU31O81V,60,68,1,noLinkingPossible,,o
baking a cake.csv.xml,AG0X3PQK2FWQJ,60,68,1,noLinkingPossible,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,60,89,1,noLinkingPossible,,o
baking a cake.csv.xml,A2P065E9CYMYJL,60,89,1,1,,o
baking a cake.csv.xml,A2QTP92PCZUGI2,60,89,1,before_1,,o
baking a cake.csv.xml,A1NZFJHVJ9CNTO,60,96,1,noLinkingPossible,,o
baking a cake.csv.xml,A27HVVLSZZ13XK,60,96,1,before_1,,o
baking a cake.csv.xml,A3UV55HC87DO9C,60,96,1,before_1,,o
baking a cake.csv.xml,A1A3TGZ7DKJWRW,60,68,7,6,,o
baking a cake.csv.xml,A2GXHECU31O81V,60,68,7,between_6_7,,o
baking a cake.csv.xml,AG0X3PQK2FWQJ,60,68,7,6,,o
