Scenario,WorkerId,lhs_script,rhs_script,lhs_item,rhs_item,before_item,after_item,noLinkingPossible,goldenStandard
baking a cake.csv.xml,A2SO6K35NMGBB7,1,6,2,6,,,f,
baking a cake.csv.xml,A34D413HR7ZIFM,1,6,2,7,,,f,
baking a cake.csv.xml,A352EPC84T9K89,1,6,2,7,,,f,
baking a cake.csv.xml,A352EPC84T9K89,1,6,4,7,,,f,
baking a cake.csv.xml,A2SO6K35NMGBB7,1,6,4,7,,,f,
baking a cake.csv.xml,A34D413HR7ZIFM,1,6,4,7,,,f,
baking a cake.csv.xml,A2SO6K35NMGBB7,1,6,5,8,,,f,
baking a cake.csv.xml,A352EPC84T9K89,1,6,5,8,,,f,
baking a cake.csv.xml,A34D413HR7ZIFM,1,6,5,8,,,f,
baking a cake.csv.xml,A352EPC84T9K89,1,6,7,14,,,f,13
baking a cake.csv.xml,A2SO6K35NMGBB7,1,6,7,14,,,f,13
baking a cake.csv.xml,A34D413HR7ZIFM,1,6,7,14,,,f,13
baking a cake.csv.xml,A2SO6K35NMGBB7,1,6,8,13,,,f,
baking a cake.csv.xml,A34D413HR7ZIFM,1,6,8,13,,,f,
baking a cake.csv.xml,A352EPC84T9K89,1,6,8,13,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,1,9,2,4,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,1,9,2,4,,,f,
baking a cake.csv.xml,A35D31QHYQUF9V,1,9,2,4,,,f,
baking a cake.csv.xml,A35D31QHYQUF9V,1,9,4,5,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,1,9,4,5,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,1,9,4,,5,4,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,1,9,5,8,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,1,9,5,8,,,f,
baking a cake.csv.xml,A35D31QHYQUF9V,1,9,5,8,,,f,
baking a cake.csv.xml,A35D31QHYQUF9V,1,9,7,11,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,1,9,7,11,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,1,9,7,12,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,1,9,8,11,,,f,
baking a cake.csv.xml,A35D31QHYQUF9V,1,9,8,11,,,f,
baking a cake.csv.xml,A13TJ0P4X8HJ6Q,1,9,8,11,,,f,
baking a cake.csv.xml,A2SSC9PR4KPNPQ,1,12,2,2,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,1,12,2,6,,,f,
baking a cake.csv.xml,A2IU1B0EVVB3CF,1,12,2,6,,,f,
baking a cake.csv.xml,A2IU1B0EVVB3CF,1,12,4,6,,,f,
baking a cake.csv.xml,A2SSC9PR4KPNPQ,1,12,4,6,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,1,12,4,6,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,1,12,5,7,,,f,
baking a cake.csv.xml,A2SSC9PR4KPNPQ,1,12,5,7,,,f,
baking a cake.csv.xml,A2IU1B0EVVB3CF,1,12,5,7,,,f,
baking a cake.csv.xml,A2IU1B0EVVB3CF,1,12,7,9,,,f,
baking a cake.csv.xml,A2SSC9PR4KPNPQ,1,12,7,10,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,1,12,7,10,,,f,
baking a cake.csv.xml,A2IU1B0EVVB3CF,1,12,8,10,,,f,
baking a cake.csv.xml,ADLYO655RWJUI,1,12,8,11,,,f,
baking a cake.csv.xml,A2SSC9PR4KPNPQ,1,12,8,11,,,f,
baking a cake.csv.xml,ADQEDEGVPG7R,2,6,1,1,,,f,
baking a cake.csv.xml,ADQEDEGVPG7R,2,6,2,7,,,f,
baking a cake.csv.xml,A1G94QON7A9K0N,2,6,3,6,,,f,
baking a cake.csv.xml,A27IABVBUZ9X8Z,2,6,3,6,,,f,
baking a cake.csv.xml,ADQEDEGVPG7R,2,6,3,6,,,f,
baking a cake.csv.xml,ADQEDEGVPG7R,2,6,4,5,,,f,
baking a cake.csv.xml,ADQEDEGVPG7R,2,6,5,,,,t,
